Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"[💸/TICKETING] BTS 2021 Muster, SOWOOZOO Ticketing Begins"	"25.05.2021 20:00 PDT"	"10.05.2020"	"BTS's 2021 Muster, SOWOOZOO Ticketing Day<br><strong><br></strong><br><strong>Ticket Sales Begin:</strong> May 26, 2021 @ 12pm KST<br>(5.25 @ 5pm HT / 8pm PT / 9pm MT / 10pm CT / 11pm ET)<br><p>ℹ️<b>More Info:</b>&nbsp\;<a href="https://www.usbtsarmy.com/latest-updates/sowoozoo-muster"id="ow654" __is_owner="true">https://www.usbtsarmy.com/latest-updates/sowoozoo-muster</a></p>"	""	""
"[🎤/DAY 2] BTS MAP OF THE SOUL ON:E Concert"	"11.10.2020 00:00 PDT"	"06.05.2020"	"<p>‘BTS MAP OF THE SOUL ON:E’ will be held on&nbsp\;<strong>October 10 (Sat.) &amp\; 11 (Sun.) KST</strong>&nbsp\;as a simultaneous onlinestreaming and offline performance event!</p><p><strong>▶️ Day 2:&nbsp\;</strong><b>Streaming starts October 11, 2020 @ 4pm KST</b><br>(10.10 @ 9pm HT / 10.11 @ 12am PT / 1am MT / 2am CT / 3am ET)&nbsp\;</p><p><b>More Info:</b>&nbsp\;<a href="https://www.usbtsarmy.com/latest-updates/mots-one">https://www.usbtsarmy.com/latest-updates/mots-one</a></p>"	""	""
"[🎤/DAY 1] BTS MAP OF THE SOUL ON:E Concert"	"10.10.2020 03:00 PDT"	"04.05.2020"	"<p>‘BTS MAP OF THE SOUL ON:E’ will be held on&nbsp\;<strong>October 10 (Sat.) &amp\; 11 (Sun.) KST</strong>&nbsp\;as a simultaneous onlinestreaming and offline performance event!</p><p><strong>▶️&nbsp\;</strong><strong>Day 1</strong><b>:&nbsp\;Streaming starts October 10, 2020 @ 7pm KST</b><br>(12am HT / 3am PT / 4am MT / 5am CT / 6am ET)&nbsp\;</p><p><b>MoreInfo:</b>&nbsp\;<a href="https://www.usbtsarmy.com/latest-updates/mots-one">https://www.usbtsarmy.com/latest-updates/mots-one</a></p>"	""	""
"[💸/SALES BEGIN] MOTS ON:E Concert & Exhibition"	"15.09.2020 21:00 PDT"	"03.05.2020"	"Livestream &amp\; Exhibition goes on sale at September 16, 2020 @ 1pm KST!<br><br>More info regarding the concert, exhibition and price breakdown:&nbsp\;<a href="https://www.usbtsarmy.com/latest-updates/mots-one" id="ow558" __is_owner="true">https://www.usbtsarmy.com/latest-updates/mots-one</a>"	""	""
"[🏡/🔎]"	"14.06.2020 02:00 PDT"	"27.04.2020"	"<br>"<strong>BANG BANG CON: The Live</strong>” will be a pay-per-view concert stream and is available for purchase on Weverse Shop starting&nbsp\;<strong>Monday, June 1st, 2020 @ 1pm KST! (6pm HT / 9pm PT / 10pmMT / 11pm CT / 12am ET)</strong>!<br><br>More details<b>👉</b><a href="https://www.usbtsarmy.com/event-merch-details/bangbangcon-the-live" id="ow462"__is_owner="true">https://www.usbtsarmy.com/event-merch-details/bangbangcon-the-live</a><br><br><b>🗓Sunday, June 14, 2020<br>🕕6pm KST (11pm HT / 2am PT / 3am MT / 4am CT / 5am ET)<br>🕕Time conversions for other countries👉<a href="https://bit.ly/BangBangConTheLiveTimes">https://bit.ly/BangBangConTheLiveTimes</a></b>"	""	""
"[POSTPONED/CHI Day 2/🎤] MAP OF THE SOUL TOUR"	"06.06.2020"	"26.04.2020"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p>———————<br>The North America leg of the tour have been postponed to a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><p>——————————————<br><br>📍"	""	"Soldier Field, 1410 Museum Campus Dr, Chicago, IL 60605, USA"
"[POSTPONED/CHI Day 1/🎤] MAP OF THE SOUL TOUR"	"05.06.2020"	"20.04.2020"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p>———————<br>The North America leg of the tour have been postponed to a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><p>——————————————<br>📍"	""	"Soldier Field, 1410 Museum Campus Dr, Chicago, IL 60605, USA"
"[POSTPONED/TORONTO Day 2/🎤] MAP OF THE SOUL TOUR"	"31.05.2020"	"19.04.2020"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p>———————<br>The North America leg of the tour have been postponed to a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><p>——————————————<br>📍"	""	"Rogers Centre, 1 Blue Jays Way, Toronto, ON M5V 1J1, Canada"
"[POSTPONED/TORONTO Day 1/🎤] MAP OF THE SOUL TOUR"	"30.05.2020"	"13.04.2020"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p><p>———————</p><p>The North America leg of the tour have been postponedto a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><br>——————————————<br>📍"	""	"Rogers Centre, 1 Blue Jays Way, Toronto, ON M5V 1J1, Canada"
"[POSTPONED/DC/🎤] MAP OF THE SOUL TOUR"	"27.05.2020"	"12.04.2020"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p>———————<br>The North America leg of the tour have been postponed to a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><p>——————————————<br>📍"	""	"FedExField, 1600 Fedex Way, Landover, MD 20785, USA"
"[POSTPONED/NJ DAY 2/🎤] MAP OF THE SOUL TOUR"	"24.05.2020"	"11.10.2019 12:30 PDT"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p>———————<br>The North America leg of the tour have been postponed to a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><p>——————————————<br><br>📍"	""	"MetLife Stadium Drive, MetLife Stadium Dr, East Rutherford, NJ "
"[POSTPONED/NJ Day 1/🎤] MAP OF THE SOUL TOUR"	"23.05.2020"	"16.12.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p>———————<br>The North America leg of the tour have been postponed to a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><p>——————————————<br>📍"	""	"MetLife Stadium Drive, MetLife Stadium Dr, East Rutherford, NJ "
"[POSTPONED/ATL/🎤] MAP OF THE SOUL TOUR"	"17.05.2020"	"15.12.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p>———————<br>The North America leg of the tour have been postponed to a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><p>——————————————<br>📍"	""	"Bobby Dodd Stadium at Historic Grant Field, 177 N Ave NW, Atlant"
"[POSTPONED/ORLANDO🎤] MAP OF THE SOUL TOUR"	"14.05.2020"	"25.11.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p>———————<br>The North America leg of the tour have been postponed to a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><p>——————————————<br>📍"	""	"Camping World Stadium, 1 Citrus Bowl Place, Orlando, FL 32805,"
"[POSTPONED/🎤] MAP OF THE SOUL TOUR"	"10.05.2020"	"24.11.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p>———————<br>The North America leg of the tour have been postponed to a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><p>——————————————<br>📍"	""	"Cotton Bowl Stadium, 3750 The Midway, Dallas, TX 75215, USA"
"[POSTPONED/DALLAS DAY 1/🎤] MAP OF THE SOUL TOUR"	"09.05.2020"	"30.10.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p><p>———————</p><p>The North America leg of the tour have been postponedto a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><br>——————————————</p><p>📍"	""	"Cotton Bowl Stadium, 3750 The Midway, Dallas, TX 75215, USA"
"[POSTPONED/LA DAY 3/🎤] MAP OF THE SOUL TOUR"	"05.05.2020"	"28.10.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p><p>———————</p><p>The North America leg of the tour have been postponedto a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><br>——————<br>📍"	""	"Rose Bowl Stadium, 1001 Rose Bowl Dr, Pasadena, CA 91103, USA"
"[POSTPONED/LA DAY 2/🎤] MAP OF THE SOUL TOUR"	"03.05.2020"	"27.10.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p><p>———————</p><p>The North America leg of the tour have been postponedto a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><br>——————<br>📍"	""	"Rose Bowl Stadium, 1001 Rose Bowl Dr, Pasadena, CA 91103, USA"
"[POSTPONED/LA DAY 1/🎤] MAP OF THE SOUL TOUR"	"02.05.2020"	"16.05.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p><p>———————</p><p>The North America leg of the tour have been postponedto a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!</p><p>——————<br>📍"	""	"Rose Bowl Stadium, 1001 Rose Bowl Dr, Pasadena, CA 91103, USA"
"[POSTPONED/SANTA CLARA DAY 2/🎤] MAP OF THE SOUL TOUR"	"26.04.2020"	"17.06.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p><p>———————</p><p>The North America leg of the tour have been postponedto a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><br>—————————————————<br>📍"	""	"Levi's Stadium, 4900 Marie P DeBartolo Way, Santa Clara, CA 950"
"[POSTPONED/SANTA CLARA DAY 1/🎤] MAP OF THE SOUL TOUR"	"25.04.2020"	"16.06.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a><br></p><p>———————</p><p>The North America leg of the tour have been postponed to a later date due to the COVID-19 outbreak. We will continuously update as more info gets released by Big Hit!<br><br>——————<br>📍"	""	"Levi's Stadium, 4900 Marie P DeBartolo Way, Santa Clara, CA 950"
"[CANCELLED/SEOUL DAY 4🎤] MAP OF THE SOUL TOUR"	"19.04.2020"	"24.06.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p><p>———————</p><p>Due to the coronavirus outbreak, the Seoul concerts have been cancelled to ensure the safety of all artists and fans. Big Hit is looking to reschedule the Seoul dates and more info will be updated as they get released.<br><br>(Source:&nbsp\;<a href="https://twitter.com/USBTSARMY/status/1233197239478046720/">1</a>)<br>————————<br>📍"	""	"Olympic Stadium, 25 Olympic-ro, Jamsil 2(i)-dong, Songpa-gu, S"
"[CANCELLED/SEOUL DAY 3🎤] MAP OF THE SOUL TOUR"	"18.04.2020"	"23.06.2019"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p><p>———————</p><p>Due to the coronavirus outbreak, the Seoul concerts have been cancelled to ensure the safety of all artists and fans. Big Hit is looking to reschedule the Seoul dates and more info will be updated as they get released.<br></p><p><br>(Source:&nbsp\;<a href="https://twitter.com/USBTSARMY/status/1233197239478046720/">1</a>)<br>——————<br>📍"	""	"Olympic Stadium, 25 Olympic-ro, Jamsil 2(i)-dong, Songpa-gu, S"
"[CANCELLED/SEOUL DAY 2🎤] MAP OF THE SOUL TOUR"	"12.04.2020"	"25.05.2019 17:00 PDT"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p><p>———————</p><p>Due to the coronavirus outbreak, the Seoul concerts have been cancelled to ensure the safety of all artists and fans.<br><br>Big Hit is looking to reschedule the Seoul dates and more info will be updated as they get released.<br><br>(Source:&nbsp\;<a href="https://twitter.com/USBTSARMY/status/1233197239478046720/">1</a>)<br>——————<br>📍"	""	"Olympic Stadium, 25 Olympic-ro, Jamsil 2(i)-dong, Songpa-gu, S"
"[CANCELLED/SEOUL DAY 1🎤] MAP OF THE SOUL TOUR"	"11.04.2020"	"26.05.2019 17:00 PDT"	"<p>4/28/2020 See BigHit's MOTS Tour reschedule announcement:&nbsp\;<a href="https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule">https://www.usbtsarmy.com/event-merch-details/mots-tour-reschedule</a></p><p>———————</p><p>Due to the coronavirus outbreak, the Seoul concerts have been cancelled to ensure the safety of all artists and fans.<br><br>Big Hit is looking to reschedule the Seoul dates and more info will be updated as they get released.<br><br>(Source:&nbsp\;<a href="https://twitter.com/USBTSARMY/status/1233197239478046720/">1</a>)<br><br>————<br>📍"	""	"Olympic Stadium, 25 Olympic-ro, Jamsil 2(i)-dong, Songpa-gu, S"
"[🏡/🔎] BANG BANG CON Day 2 (BTS Online Concert)"	"18.04.2020 20:00 PDT"	"08.06.2019 13:00 PDT"	"BTS &amp\; Big Hit will be streaming a couple of&nbsp\; past BTS concerts on their YouTube channel, BANGTANTV\; this is a special online streaming event by BTS for ARMY<br><br>📅April 18 - 19, 2020<br>⏰12pm KST<br>(6pm HT / 8pm PT / 9pm CT / 10pm MT / 11pm ET)<br>Time Conversions for other countries:&nbsp\;<a href="https://bit.ly/BangBangConTimes">https://bit.ly/BangBangConTimes</a><br>📍BANGTANTV on YouTube &amp\; BTS Weverse*<br><br>*If you watch BANG.BANG.CON on Weverse (through the media tab) your ARMYBomb can be linked and synced to the performances for that real concert experience!&nbsp\;<br><br><b>BANG.BANG.CON Setlist:</b>&nbsp\;<a href="https://www.usbtsarmy.com/bangbangcon-setlist">https://www.usbtsarmy.com/bangbangcon-setlist</a><br><br><b>🔍APRIL 18 Concert List:<br></b>- 2015 BTS LIVE &lt\;HYYH ON STAGE&gt\;<br>- 2015 BTS LIVE &lt\;HYYH ON "	""	""
"[🏡/🔎] BANG BANG CON Day 1 (BTS Online Concert)"	"17.04.2020 20:00 PDT"	"07.06.2019 13:00 PDT"	"BTS &amp\; Big Hit will be streaming a couple of&nbsp\; past BTS concerts on their YouTube channel, BANGTANTV\; this is a special online streaming event by BTS for ARMY<br><br>📅April 18 - 19, 2020<br>⏰12pm KST<br>(6pm HT / 8pm PT / 9pm CT / 10pm MT / 11pm ET)<br>Time Conversions for other countries: <a href="https://bit.ly/BangBangConTimes">https://bit.ly/BangBangConTimes</a><br>📍BANGTANTV on YouTube &amp\; BTS Weverse*<br><br>*Ifyou watch BANG.BANG.CON on Weverse (through the media tab) your ARMY Bomb can be linked and synced to the performances for that real concert experience!&nbsp\;<br><br><b>BANG.BANG.CON Setlist:</b>&nbsp\;<a href="https://www.usbtsarmy.com/bangbangcon-setlist" id="ow862" __is_owner="true">https://www.usbtsarmy.com/bangbangcon-setlist</a><br><br><b>🔍APRIL 18 Concert List:<br></b>- 2015 BTS LIVE &lt\;HYYH ON STAGE&gt\;<br>- 2015 BTS LIVE &lt\;HYYH ON "	""	""
"[SAUDI ARABIA] WORLD TOUR ‘LOVE"	"11.10.2019 09:30 PDT"	"01.06.2019 12:30 PDT"	"BTS World Tour ‘LOVE "	""	"King Fahd International Stadium, 3398 Prince Bandar Bin Abdulaziz"
"[🎤/Osaka Day 2] MAGIC SHOP: BTS Japan Official Fanmeeting Vol. 5"	"15.12.2019"	"02.06.2019 12:30 PDT"	""	""	"〒550-0023 Osaka, Nishi-ku, Chiyozaki, 3 Chome−中２−1"
"[🎤/Osaka Day 1] MAGIC SHOP: BTS Japan Official Fanmeeting Vol. 5"	"14.12.2019"	"19.05.2019 18:30 PDT"	""	""	"〒550-0023 Osaka, Nishi-ku, Chiyozaki, 3 Chome−中２−1"
"[🎤/Chiba Day 2] MAGIC SHOP: BTS Japan Official Fanmeeting Vol. 5"	"24.11.2019"	"18.05.2019 18:30 PDT"	""	""	"１ Mihama, Mihama Ward, Chiba, 261-0022, Japan"
"[🎤/Chiba Day 1] MAGIC SHOP: BTS Japan Official Fanmeeting Vol. 5"	"23.11.2019"	"12.05.2019 19:30 PDT"	""	""	"１ Mihama, Mihama Ward, Chiba, 261-0022, Japan"
"[🎤 / DAY 3] 'LOVE"	"29.10.2019"	"11.05.2019 19:30 PDT"	"Announcement sources: 🔗https://weverseapi.weverse.io/static/shares/communities/2/notices/66 🔗http://m.cafe.daum.net/BANGTAN/jbaj/510?svc=cafeapp"	""	"Olympic Stadium, 25 Olympic-ro, Jamsil 2(i)-dong, Songpa-gu, S"
"[🎤 / DAY 2] 'LOVE"	"27.10.2019"	"04.05.2019 21:30 PDT"	"Announcement sources: 🔗https://weverseapi.weverse.io/static/shares/communities/2/notices/66 🔗http://m.cafe.daum.net/BANGTAN/jbaj/510?svc=cafeapp"	""	"Olympic Stadium, 25 Olympic-ro, Jamsil 2(i)-dong, Songpa-gu, S"
"[🎤 / DAY 1] 'LOVE"	"26.10.2019"	"05.05.2019 21:30 PDT"	"Announcement sources:<br>🔗<a href="https://weverseapi.weverse.io/static/shares/communities/2/notices/66" id="ow2044" __is_owner="true">https://weverseapi.weverse.io/static/shares/communities/2/notices/66</a><br>🔗<a href="http://m.cafe.daum.net/BANGTAN/jbaj/510?svc=cafeapp" id="ow2031"__is_owner="true">http://m.cafe.daum.net/BANGTAN/jbaj/510?svc=cafeapp</a>"	""	"Olympic Stadium, 25 Olympic-ro, Jamsil 2(i)-dong, Songpa-gu, S"
"[GMA] 2019 SUMMER CONCERT SERIES LIVE"	"15.05.2019"	"18.02.2019"	"BTS will be headlining the Good Morning America 2019 Summer Concert Series LIVE in Central Park Wednesday, May 15th! #BTSonGMA<br><br>🔗<a href="http://gma.abc/2DLpRGP" id="ow973" __is_owner="true">http://gma.abc/2DLpRGP&nbsp\;</a>"	""	"Central Park, New York, NY, USA"
"5th MUSTER <Magic Shop>"	"16.06.2019"	"17.02.2019"	""	""	"Busan Asiad Auxiliary Stadium"
"5th MUSTER <Magic Shop>"	"15.06.2019"	"15.07.2019"	""	""	"Busan Asiad Auxiliary Stadium"
"5th MUSTER <Magic Shop>"	"23.06.2019"	"14.07.2019"	""	""	"Olympic Gymnastics Arena, 424 Olympic-ro, Bangi-dong, Songpa-gu"
"5th MUSTER <Magic Shop>"	"22.06.2019"	"08.07.2019"	""	""	"Olympic Gymnastics Arena, 424 Olympic-ro, Bangi-dong, Songpa-gu"
